lookback_bars,lookback_label,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
120,1m,stagnation,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,27,51.85185185185185,13.229214913603439,0.4899709227260533,1.9511180340619954,7.044900242403306,6,16,37.5,0.7383137559639579,0.04614460974774737,1.069408594488773,6.493797325481093,6,10,70.0,10.506527683355946,1.0506527683355946,4.211129191291021,3.271910613827356,3,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.4520843548785227,62.96296296296296,51.85185185185185,51.85185185185185,11.11111111111111,0.0,27.986824797995958
120,1m,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,18,61.111111111111114,13.60967396314572,0.75609299795254,2.779085717270389,3.406763132639054,3,11,54.54545454545454,5.897620562874115,0.5361473238976469,2.0766201895898977,3.406763132639054,3,6,66.66666666666666,5.727679925988072,0.954613320998012,3.6371615679848857,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.6063950191628384,72.22222222222221,61.111111111111114,61.111111111111114,11.11111111111111,0.0,25.43465680025219
120,1m,stagnation,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,16,62.5,12.74729152896511,0.7967057205603194,2.9390066522235974,3.235476808941915,3,9,55.55555555555556,5.035238128693507,0.5594709031881675,2.1437941330168924,2.3310846344658787,2,6,66.66666666666666,5.727679925988072,0.954613320998012,3.6371615679848857,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.6811951692950176,75.0,62.5,62.5,12.5,0.0,24.93746777238019
120,1m,either,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,52,40.38461538461539,8.760955304634068,0.1684799097045013,1.2734165808120583,13.906667072188718,9,31,29.03225806451613,-5.541176436694891,-0.17874762699015778,0.7556428042421136,12.691349990364952,9,18,61.111111111111114,14.343826467734445,0.7968792482074691,2.954224980051843,3.1956980161515607,3,3,33.33333333333333,-0.04169472640548566,-0.013898242135161887,0.9794208672781567,2.0260682006890174,2,1.3010529043449774,55.769230769230774,46.15384615384615,40.38461538461539,15.384615384615385,5.769230769230769,23.44421651749829
60,0.5m,stagnation,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,39,43.58974358974359,9.928285008866157,0.2545714104837476,1.4290864938021741,10.978529723378674,7,24,33.33333333333333,-1.3793951907310218,-0.05747479961379257,0.9185052991149616,9.788060733212495,7,12,66.66666666666666,11.356961608949346,0.9464134674124455,3.7180554556252474,3.172539353361681,3,3,33.33333333333333,-0.049281409352167405,-0.016427136450722468,0.975767073484925,2.033654883635699,2,1.445613513699353,61.53846153846154,48.717948717948715,43.58974358974359,17.94871794871795,5.128205128205128,22.25937864449787
90,0.75m,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,15,60.0,10.759684744355607,0.7173123162903737,2.5943241373134494,2.3310846344658787,2,10,60.0,6.964002951575836,0.6964002951575836,2.510405993152536,2.3310846344658787,2,4,50.0,1.8113083184962389,0.4528270796240597,1.8471734609680235,1.0058013002276882,1,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.7521796399586707,80.0,66.66666666666666,60.0,20.0,6.666666666666667,17.814056970409567
60,0.5m,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,23,47.82608695652174,8.391791458279114,0.36486049818604843,1.6522901771442027,4.7423087786636895,3,15,40.0,1.8712355017401932,0.12474903344934621,1.192747318745449,3.6100493369666413,3,6,66.66666666666666,5.555010788969204,0.9258351314948673,3.598153869084394,1.0058013002276882,1,2,50.0,0.9655451675697153,0.48277258378485766,1.9477015520741041,1.0188283067138164,1,1.548045090343782,69.56521739130434,52.17391304347826,47.82608695652174,21.73913043478261,4.3478260869565215,16.983959380264633
120,1m,either,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,19,52.63157894736842,9.88408210780617,0.5202148477792722,2.0522439182639283,4.265385424468185,4,14,50.0,6.128114853455898,0.43772248953256415,1.8486017103929628,2.093474535305365,2,4,50.0,1.7715937800667423,0.44289844501668557,1.8156843767884123,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.3691243299140117,57.89473684210527,52.63157894736842,52.63157894736842,5.263157894736842,0.0,15.076751597150233
60,0.5m,stagnation,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,22,45.45454545454545,6.453730525925328,0.29335138754206036,1.5016455722149291,4.742308778663688,3,14,35.714285714285715,-0.06682543061359114,-0.004773245043827938,0.9931166213109996,3.6100493369666395,3,6,66.66666666666666,5.555010788969204,0.9258351314948673,3.598153869084394,1.0058013002276882,1,2,50.0,0.9655451675697153,0.48277258378485766,1.9477015520741041,1.0188283067138164,1,1.5269420570211159,68.18181818181817,50.0,45.45454545454545,22.727272727272727,4.545454545454546,14.609217400405623
120,1m,either,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,17,52.94117647058824,8.9945987690285,0.5290940452369706,2.0778739019797707,4.265385424468185,4,12,50.0,5.238631514678223,0.4365526262231853,1.848657017207955,2.093474535305365,2,4,50.0,1.7715937800667423,0.44289844501668557,1.8156843767884123,1.0396514474657728,2,1,100.0,1.9843734742835317,1.9843734742835317,inf,0.0,0,1.3880357223600994,58.82352941176471,52.94117647058824,52.94117647058824,5.88235294117647,0.0,14.248415031919196
